last word,count,mean,min,max,std,median,maxdiff,mindiff
HILLS,75,389648.6666666667,103000.0,1825000.0,282425.27437590685,325000.0,1500000.0,222000.0
HILLCREST,94,346181.3829787234,500.0,1270000.0,193169.66774516256,301500.0,968500.0,301000.0
HILL,6960,531385.0682471264,190.0,23000000.0,837859.5130870829,365000.0,22635000.0,364810.0
HIGHWAY,103,331583.854368932,15600.0,1460000.0,256525.1767810275,237000.0,1223000.0,221400.0
HIGHFIELDS,83,388078.5180722892,141000.0,1872000.0,259777.94949032733,300000.0,1572000.0,159000.0
HIGHFIELD,50,311438.5,45000.0,1480000.0,237588.53512041207,250000.0,1230000.0,205000.0
HEY,101,240401.78217821784,85500.0,1100000.0,178003.55198925684,170000.0,930000.0,84500.0
HEIGHTS,439,336269.47380410024,37500.0,1700000.0,190016.01570555885,300000.0,1400000.0,262500.0
HEATH,174,458725.6896551724,10500.0,2850000.0,381575.83770394034,335000.0,2515000.0,324500.0
HEAD,83,379226.0722891566,44000.0,3600000.0,429707.3420327188,268000.0,3332000.0,224000.0
HAYES,51,371970.5882352941,25000.0,830000.0,191566.5527111846,305000.0,525000.0,280000.0
HAWTHORNS,117,365429.8717948718,66000.0,1140000.0,216730.05097759442,315000.0,825000.0,249000.0
HALL,65,353607.6923076923,49000.0,1500000.0,273558.5873650356,270000.0,1230000.0,221000.0
GROVE,14013,342162.87846999214,280.0,11750000.0,379968.71394571895,261500.0,11488500.0,261220.0
GROUND,111,496109.5495495495,74000.0,4150000.0,520803.4968495532,365000.0,3785000.0,291000.0
GREENWAYS,88,475977.2727272727,52500.0,1800000.0,332050.68949947116,335000.0,1465000.0,282500.0
GREENWAY,167,444176.4371257485,12000.0,4900000.0,549053.3522169271,320000.0,4580000.0,308000.0
GREENSIDE,52,285418.26923076925,72500.0,915000.0,186722.26754971273,219250.0,695750.0,146750.0
GREENFIELDS,54,308516.6666666667,137500.0,950000.0,143755.36150789005,261250.0,688750.0,123750.0
GREENACRES,84,347384.5238095238,120000.0,850000.0,162871.84498903414,335000.0,515000.0,215000.0
GREEN,4278,427769.16690042074,150.0,28400000.0,879221.8893136203,315000.0,28085000.0,314850.0
GRANGE,605,380925.41157024796,2000.0,10800000.0,513579.83829483413,300000.0,10500000.0,298000.0
GOCH,52,265104.8076923077,104000.0,750000.0,93592.70736527655,249997.0,500003.0,145997.0
GLEN,127,430876.79527559056,50000.0,2750000.0,390049.0006175322,345000.0,2405000.0,295000.0
GLEBELANDS,59,350639.72881355934,97000.0,780000.0,153966.60501111703,315000.0,465000.0,218000.0
GLEBE,92,392622.8369565217,59000.0,1825000.0,253021.53375371627,342500.0,1482500.0,283500.0
GLAS,55,219590.9090909091,5000.0,600000.0,97507.31648279922,206000.0,394000.0,201000.0
GLADE,250,444508.28,7350.0,3750000.0,417408.0905225392,370000.0,3380000.0,362650.0
GATEWAY,80,420002.225,150000.0,3150000.0,337848.8846014291,381500.0,2768500.0,231500.0
GATE,1550,517334.5535483871,11500.0,52800000.0,2031887.3765663633,260000.0,52540000.0,248500.0
GARTH,520,275045.67307692306,25000.0,1250000.0,165252.30932424217,241250.0,1008750.0,216250.0
GARDENS,19330,459920.90998448007,230.0,41400000.0,792867.1929586875,328500.0,41071500.0,328270.0
GARDEN,115,668300.0782608696,12750.0,18524000.0,1915527.0479664484,323000.0,18201000.0,310250.0
FURLONG,120,425906.0333333333,96400.0,3400000.0,326389.263646642,370500.0,3029500.0,274100.0
FOLD,589,286593.79117147706,52000.0,1450000.0,177009.12900566,240500.0,1209500.0,188500.0
